,event_num,complaint_num,shift,tencode,tencode_desc,tencode_suffix,tencode_suffix_desc,disposition_code,disposition_desc,block,st_name,unit_disp,sector,zone,RPA,lat,lng,map_loc,call_date,call_time
4664,PD202000360350,,,87,,L,,11,,,OLD HICKORY BLVD,,,833,8621.0,36.04,-86.744,POINT (-86.744 36.04),05/04/2020,12:38:32 PM
4665,PD202000359072,,,96,,,,12,,,,621C,N,623K,3103.0,,,,05/04/2020,03:07:33 AM
4666,PD202000360072,,,43,,P,PROGRESS,4,,1500.0,GALLATIN PKE N,721A,M,727,1721.0,,,,05/04/2020,11:00:58 AM
4667,PD202000358195,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,W,121N,5019.0,,,,05/03/2020,07:07:54 PM
4668,PD202000356949,,,96,,,,12,,0.0,OLDHAM ST,5828,,,,,,,05/03/2020,11:13:17 AM
4669,PD202000357927,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,5,,,,523C,H,523,9523.0,,,,05/03/2020,05:56:22 PM
4670,PD202000361422,,,15,,P,PROGRESS,15,,,,2932,W,113Q,6005.0,,,,05/04/2020,07:01:35 PM
4671,PD202000356251,,,43,,P,PROGRESS,4,,,,331C,S,321,8713.0,,,,05/03/2020,02:12:54 AM
4672,PD202000175884,,,96,,,,12,,3900.0,CLARKSVILLE PKE,627A,,231X,0.0,36.208,-86.84,POINT (-86.84 36.208),03/03/2020,08:57:23 AM
4673,PD202000358930,,,44,,P,PROGRESS,5,,,,611C,N,611,4489.0,,,,05/04/2020,01:12:35 AM
4674,PD202000176593,,,44,,P,PROGRESS,9,,1100.0,GALLATIN PKE S,7F63,M,711,1785.0,,,,03/03/2020,02:52:08 PM
4675,PD202000356541,,,96,,,,12,,300.0,HARDING PL,321C,,315Z,0.0,36.085,-86.704,POINT (-86.704 36.085),05/03/2020,05:37:11 AM
4676,PD202000360260,,,43,,P,PROGRESS,4,,400.0,NEELYS BEND RD,714A,713,713,1609.0,36.256,-86.706,POINT (-86.706 36.256),05/04/2020,12:03:33 PM
4677,PD202000360944,,,43,,P,PROGRESS,11,,,,222B,E,225K,,,,,05/04/2020,04:11:59 PM
4678,PD202000358026,,,96,,,,12,,1400.0,DICKERSON PKE,223B,,218T,0.0,36.198,-86.771,POINT (-86.771 36.198),05/03/2020,06:23:35 PM
4679,PD202000361912,,,43,,P,PROGRESS,4,,,,315B,ECC,313N,8409.0,,,,05/04/2020,10:40:39 PM
4680,PD202000359677,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,325A,S,331,8759.0,,,,05/04/2020,08:29:17 AM
4681,PD202000176077,,,96,,,,12,,,,721A,M,721,2031.0,,,,03/03/2020,10:34:22 AM
4682,PD202000359589,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,W,125,4809.0,,,,05/04/2020,07:57:14 AM
4683,PD202000177049,,,96,,,,15,,,,317B,S,317N,,,,,03/03/2020,06:32:05 PM
4684,PD202000358354,,,44,,P,PROGRESS,5,,,,BHPD,MT,823,6957.0,,,,05/03/2020,07:49:38 PM
4685,PD202000356545,,,96,,,,15,,1000.0,GALLATIN PKE S,711C,M,711,1507.0,,,,05/03/2020,05:40:44 AM
4686,PD202000175901,,,96,,,,4,,2100.0,ABBOTT MARTIN RD,117A,,117V,0.0,36.106,-86.81700000000001,POINT (-86.817 36.106),03/03/2020,09:07:14 AM
4687,PD202000357510,,,70,,A,ALARM,12,,,,122C,W,121,,,,,05/03/2020,04:32:03 PM
4688,PD202000357348,,,44,,P,PROGRESS,1S,,100.0,MCGAVOCK PKE,512B,,,,,,,05/03/2020,03:15:09 PM
4689,PD202000358960,,,83,,P,PROGRESS,11,,,,,N,611N,4411.0,,,,05/04/2020,01:39:49 AM
4690,PD202000361369,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,117B,W,117,6113.0,,,,05/04/2020,06:39:50 PM
4691,PD202000174912,,,43,,PM,,4,,,,513C,C,415K,4211.0,,,,03/03/2020,12:09:26 AM
4692,PD202000175948,,,43,,P,PROGRESS,11,,,,822A,MT,821N,8025.0,,,,03/03/2020,09:27:32 AM
4693,PD202000357882,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,1400.0,AUTUMN KNOLL,831B,523,523,9559.0,,,,05/03/2020,05:46:13 PM
4694,PD202000360223,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,3M81,S,311,8157.0,,,,05/04/2020,11:53:34 AM
4695,PD202000359977,,,43,,R,REPORT,9,,400.0,MAPLE ST,713A,713,713,1609.0,,,,05/04/2020,10:27:09 AM
4696,PD202000176121,,,92,,P,PROGRESS,4,,,OLD HICKORY BLVD,525C,,521,9531.0,36.191,-86.615,POINT (-86.615 36.191),03/03/2020,10:52:12 AM
4697,PD202000357984,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,820B,MT,823N,,,,,05/03/2020,06:12:50 PM
4698,PD202000175962,,,43,,P,PROGRESS,15,,,,215C,E,227,1929.0,,,,03/03/2020,09:36:06 AM
4699,PD202000358066,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,3400.0,LEBANON PKE,525B,521,521,9531.0,,,,05/03/2020,06:35:05 PM
4700,PD202000357753,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,210A,MT,835,8653.0,,,,05/03/2020,05:10:35 PM
4701,PD202000356835,20200313441.0,,50,,RV,,6,,,,212A,,,,,,,05/03/2020,09:35:19 AM
4702,PD202000361810,,,71,,A,ALARM,10,,,,535C,H,531K,8823.0,,,,05/04/2020,09:52:55 PM
4703,PD202000361909,,,87,,W,WARRANT ASSISTANCE ESCORT,10,,,,335C,S,335N,8913.0,,,,05/04/2020,10:38:08 PM
4704,PD202000357331,,,3,,,,4,,300.0,WALLACE RD,424A,,315Y,0.0,36.077,-86.725,POINT (-86.725 36.077),05/03/2020,03:05:26 PM
